id,title,artist,date,score,link
815,Singles,Future Islands,2014-03-25,7.0,https://www.youtube.com/watch?v=Zr4YJIqx31c
816,Recess,Skrillex,2014-03-26,5.0,https://www.youtube.com/watch?v=a1eL0IQk5VI
817,Mess,Liars,2014-03-26,8.0,https://www.youtube.com/watch?v=19ecDCf3iLY
818,Present Tense,Wild Beasts,2014-03-27,7.0,https://www.youtube.com/watch?v=MBkph9YoG8w
819,Wakedafucup,Onyx,2014-03-27,7.0,https://www.youtube.com/watch?v=T2i-R2Bru2s
821,All Love's Legal,Planningtorock,2014-04-01,10.0,https://www.youtube.com/watch?v=l7ovkjrJFMI
822,All Love's Legal,Planningtorock,2014-04-01,0.0,https://www.youtube.com/watch?v=MO_DTx7DOTo
823,Jimmy The Burnout,Nocando,2014-04-02,6.0,https://www.youtube.com/watch?v=mM40Rp0m5AA
824,Salad Days,Mac DeMarco,2014-04-02,5.0,https://www.youtube.com/watch?v=UuvtAqrcSOo
825,No Mythologies To Follow,Mø,2014-04-03,6.0,https://www.youtube.com/watch?v=nQ9h3KOYNhY
826,Baby,White Hinterland,2014-04-03,8.0,https://www.youtube.com/watch?v=Yc6e--9NCOs
827,Hot Dreams,Timber Timbre,2014-04-04,8.0,https://www.youtube.com/watch?v=csJSEJmKjYc
828,Dissed and Dismissed,Tony Molina,2014-04-05,7.0,https://www.youtube.com/watch?v=axr3eLz-URQ
829,Enter The Slasher House,Avey Tare's Slasher Flicks,2014-04-07,5.0,https://www.youtube.com/watch?v=dpO20mTsOpQ
830,Wasted Years,OFF!,2014-04-07,7.0,https://www.youtube.com/watch?v=I4YvFQPplxQ
831,Here And Nowhere Else,Cloud Nothings,2014-04-08,6.0,https://www.youtube.com/watch?v=dXDCTqOPNqs
832,Sisyphus,Sisyphus,2014-04-08,7.0,https://www.youtube.com/watch?v=Fex6mMwSN3c
833,So It Goes,Ratking,2014-04-09,8.0,https://www.youtube.com/watch?v=u8_m_s9NhLk
834,Z,SZA,2014-04-10,4.0,https://www.youtube.com/watch?v=97v_pftI5yM
835,It's Album Time,Todd Terje,2014-04-10,6.0,https://www.youtube.com/watch?v=xTnE5MpqHvI
836,Strange Journey Vol. 3,CunninLynguists,2014-04-11,7.0,https://www.youtube.com/watch?v=-yAzXtjPqR8
837,Broken Ankles,Girl Talk & Freeway,2014-04-14,8.0,https://www.youtube.com/watch?v=TSgrGqOIXGw
838,PRAYER FOR TERRENE,IDYLLS,2014-04-15,8.0,https://www.youtube.com/watch?v=VbXaF5EmTFk
839,Sacred White Noise,Thantifaxath,2014-04-17,8.0,https://www.youtube.com/watch?v=W1APvyVVm-4
840,"Home, Like NoPlace Is There",The Hotelier,2014-04-21,6.0,https://www.youtube.com/watch?v=B42U6Puyx7U
841,Boy,Carla Bozulich,2014-04-21,8.0,https://www.youtube.com/watch?v=rJ-GxWyqnu0
842,Built On Glass,Chet Faker,2014-04-22,3.0,https://www.youtube.com/watch?v=71iEgW0ABhY
843,Enclosure,John Frusciante,2014-04-22,2.0,https://www.youtube.com/watch?v=qUFXgTdYBwk
844,P.T.S.D.,Pharoahe Monch,2014-04-23,7.0,https://www.youtube.com/watch?v=scJ9fS5S7bo
845,Indie Cindy,Pixies,2014-04-24,4.0,https://www.youtube.com/watch?v=rw4YjdWaswE
846,Death Mask,Lord Mantis,2014-04-28,6.0,https://www.youtube.com/watch?v=5O52mY0F9LQ
847,Nikki Nack,tUnE-yArDs,2014-04-29,8.0,https://www.youtube.com/watch?v=yS27JEUJXXc
848,Honest,Future,2014-04-30,2.0,https://www.youtube.com/watch?v=d1kwJtkFtwA
849,More Than Any Other Day,Ought,2014-05-01,7.0,https://www.youtube.com/watch?v=PhCE3XxgHSQ
850,Divide & Exit,Sleaford Mods,2014-05-02,6.0,https://www.youtube.com/watch?v=RO4Gc_tF6Ck
851,III,BADBADNOTGOOD,2014-05-05,7.0,https://www.youtube.com/watch?v=sVZ5oiYKc5g
852,Christmas Island,Andrew Jackson Jihad,2014-05-07,5.0,https://www.youtube.com/watch?v=h64DvnMaCnU
853,Everyday Robots,Damon Albarn,2014-05-07,5.0,https://www.youtube.com/watch?v=4-Ds7dKjIRE
854,I Never Learn,Lykke Li,2014-05-09,6.0,https://www.youtube.com/watch?v=U6Zbc8Q3Jgo
855,Turn Blue,The Black Keys,2014-05-14,4.0,https://www.youtube.com/watch?v=CklabgHYnGA
856,Nabuma Rubberband,Little Dragon,2014-05-15,6.0,https://www.youtube.com/watch?v=KVD4K6dQ5ss
857,Ibibio Sound Machine,Ibibio Sound Machine,2014-05-16,7.0,https://www.youtube.com/watch?v=-qsmQxWkiAs
858,To Be Kind,Swans,2014-05-20,10.0,https://www.youtube.com/watch?v=8NQyDKbGVOg
859,White Women,Chromeo,2014-05-22,5.0,https://www.youtube.com/watch?v=WX1qWv05ILU
860,Splinters,Vallenfyre,2014-05-22,7.0,https://www.youtube.com/watch?v=fopTU6h2tjU
861,Ultima II Massage,Tobacco,2014-05-23,8.0,https://www.youtube.com/watch?v=jQfCJVAwFL8
862,...And Then You Shoot Your Cousin,The Roots,2014-05-23,4.0,https://www.youtube.com/watch?v=7BByISrInfI
864,No Peace,Trash Talk,2014-05-28,5.0,https://www.youtube.com/watch?v=CvqtFg4CDLc
865,In Conflict,Owen Pallett,2014-05-29,7.0,https://www.youtube.com/watch?v=A46QN81TRQc
866,Are We There,Sharon Van Etten,2014-05-29,6.0,https://www.youtube.com/watch?v=VFBMewMCCxQ
867,Eyehategod,Eyehategod,2014-05-30,6.0,https://www.youtube.com/watch?v=k53xc1uVMXM
868,CLPPNG,clipping.,2014-06-02,9.0,https://www.youtube.com/watch?v=su4ZsUDJWcQ
869,Ghost Stories,Coldplay,2014-06-03,4.0,https://www.youtube.com/watch?v=FihAfj0FALk
870,NEON iCON,RiFF RAFF,2014-06-04,5.0,https://www.youtube.com/watch?v=Rhxuyujfep8
871,Sunbathing Animal,Parquet Courts,2014-06-05,4.0,https://www.youtube.com/watch?v=QZkHxln2jQw
872,Good To Be Home,Blu,2014-06-05,6.0,https://www.youtube.com/watch?v=Od3bBCq5mkY
873,A U R O R A,Ben Frost,2014-06-06,5.0,https://www.youtube.com/watch?v=Blz9I0q2Hq8
874,Blissfucker,Trap Them,2014-06-10,5.0,https://www.youtube.com/watch?v=0k_hTuQiU8E
875,Lazaretto,Jack White,2014-06-11,5.0,https://www.youtube.com/watch?v=__MzJoGgYLk
876,Esoteric Warfare,Mayhem,2014-06-12,7.0,https://www.youtube.com/watch?v=9fIpMIsf_o0
877,Ultraviolence,Lana Del Rey,2014-06-16,2.0,https://www.youtube.com/watch?v=SXDRPJLqh8Y
879,Reality Testing,Lone,2014-06-20,3.0,https://www.youtube.com/watch?v=26axVHigRdY
880,Caustic Window,Caustic Window,2014-06-23,6.0,https://www.youtube.com/watch?v=2XdD_BJ5D18
881,Why Do The Heathen Rage?,The Soft Pink Truth,2014-06-23,7.0,https://www.youtube.com/watch?v=f-b5PravLXk
882,Dark Comedy,Open Mike Eagle,2014-06-24,8.0,https://www.youtube.com/watch?v=r4Wtbsz3EkU
883,These Days...,Ab-Soul,2014-06-25,5.0,https://www.youtube.com/watch?v=VRclyW74J_k
884,Once More 'Round the Sun,Mastodon,2014-06-26,7.0,https://www.youtube.com/watch?v=Lyf7TP5pdYQ
885,Connecticut Casual,Apathy,2014-06-29,8.0,https://www.youtube.com/watch?v=BqH_kA0BN98
886,Crashing Diseases and Incurable Airplanes,USA Out of Vietnam,2014-07-02,7.0,https://www.youtube.com/watch?v=3MnBA__QrfY
887,Sea When Absent,A Sunny Day In Glasgow,2014-07-04,7.0,https://www.youtube.com/watch?v=M0EU9vXGHgk
888,Want,Wreck and Reference,2014-07-07,6.0,https://www.youtube.com/watch?v=iPquW4HcwV0
889,The Beast of Left and Right,Lazer/Wulf,2014-07-14,7.0,https://www.youtube.com/watch?v=SRC5BGunQ7s
890,Celestite,Wolves In the Throne Room,2014-07-15,8.0,https://www.youtube.com/watch?v=vekiCfWRstU
891,1000 Forms of Fear,Sia,2014-07-16,7.0,https://www.youtube.com/watch?v=PiL_FfqyVfk
892,While (1 Is Less Than 2),Deadmau5,2014-07-17,7.0,https://www.youtube.com/watch?v=qy-tfRCoGGc
893,Roads To The North,Panopticon,2014-07-18,8.0,https://www.youtube.com/watch?v=WciHRKHwBuA
895,Trouble In Paradise,La Roux,2014-07-21,8.0,https://www.youtube.com/watch?v=Wc1nLKO2daI
896,No More,Shlohmo & Jeremih,2014-07-22,5.0,https://www.youtube.com/watch?v=LvI4plyRcrs
897,Mandatory Fun,"""Weird Al"" Yankovic",2014-07-23,7.0,https://www.youtube.com/watch?v=dbP8F2bnfIc
898,World Peace is None of Your Business,Morrissey,2014-07-24,5.0,https://www.youtube.com/watch?v=GMddfZCiiQ4
899,Lese Majesty,Shabazz Palaces,2014-07-25,5.0,https://www.youtube.com/watch?v=pd8EVQgm_DQ
901,The Flesh Prevails,Fallujah,2014-07-28,4.0,https://www.youtube.com/watch?v=kG_nR0Pcywg
902,"""What Is This Heart?""",How To Dress Well,2014-07-29,6.0,https://www.youtube.com/watch?v=ZWh7Ns1iS8w
903,Never Hungover Again,Joyce Manor,2014-07-29,6.0,https://www.youtube.com/watch?v=kjSTPQQg194
904,Mouth Sounds / Mouth Silence,Neil Cicierega,2014-07-31,8.0,https://www.youtube.com/watch?v=cLgarIGTAe0
905,Nobody's Smiling,Common,2014-08-01,6.0,https://www.youtube.com/watch?v=O5WQNBn9q8g
906,Pikapika Fantajin,Kyary Pamyu Pamyu,2014-08-05,7.0,https://www.youtube.com/watch?v=LkUQX0Gqo6Q
908,They Want My Soul,Spoon,2014-08-07,7.0,https://www.youtube.com/watch?v=0-kjcZRAxcs
909,Two,PartyNextDoor,2014-08-08,2.0,https://www.youtube.com/watch?v=8p4Lcyby3ZQ
910,Worlds,Porter Robinson,2014-08-11,5.0,https://www.youtube.com/watch?v=A4YA1ugNEaM
911,The Thought of You,Otis Brown III,2014-08-12,7.0,https://www.youtube.com/watch?v=Sy_7oh4_kXw
912,Cellar Door: Terminus Ut Exordium,The Underachievers,2014-08-13,7.0,https://www.youtube.com/watch?v=XwouQHOyOQA
913,The Water[s],Mick Jenkins,2014-08-14,8.0,https://www.youtube.com/watch?v=raY3t5Ukt4k
914,LP1,FKA twigs,2014-08-16,8.0,https://www.youtube.com/watch?v=LriAU0of3u4
915,Leaving,Spooky Black,2014-08-18,5.0,https://www.youtube.com/watch?v=zI6H-QWAZog
916,Antemasque,Antemasque,2014-08-19,7.0,https://www.youtube.com/watch?v=d9sGdZvF_R8
917,All You Can Do,Watsky,2014-08-20,4.0,https://www.youtube.com/watch?v=gt70XZHH5AI
920,True That,Michael Cera,2014-08-22,5.0,https://www.youtube.com/watch?v=-obIKHZvohA
921,New York Telephone,Uncommon Nasa,2014-08-25,8.0,https://www.youtube.com/watch?v=S47nKJ8n0tk
922,Foundations of Burden,Pallbearer,2014-08-26,6.0,https://www.youtube.com/watch?v=b9tESaZ6hFc
923,Indigo Child,Raury,2014-08-27,4.0,https://www.youtube.com/watch?v=K-o3nS4o1Eg
924,Green Language,Rustie,2014-08-28,3.0,https://www.youtube.com/watch?v=-9H3gaVgbUs
925,Days Before Rodeo,Travis Scott,2014-08-29,3.0,https://www.youtube.com/watch?v=OUzEUsNepC4
926,Manipulator,Ty Segall,2014-08-30,6.0,https://www.youtube.com/watch?v=aXou_Y-8fcQ
927,Anchor,Zammuto,2014-09-01,6.0,https://www.youtube.com/watch?v=o6Dc8yIZuM0
928,I Am King,Code Orange,2014-09-01,6.0,https://www.youtube.com/watch?v=4lsuigFrAjY
929,Pale Communion,Opeth,2014-09-03,5.0,https://www.youtube.com/watch?v=BaIc7rttYEc
930,Barrag�n,Blonde Redhead,2014-09-04,6.0,https://www.youtube.com/watch?v=W_wb5Tk9fRs
931,Angels & Devils,The Bug,2014-09-05,6.0,https://www.youtube.com/watch?v=i6Al4qaREwY
932,The Physical World,Death From Above 1979,2014-09-10,6.0,https://www.youtube.com/watch?v=-Ig5-BSXy_8
933,Primitive and Deadly,Earth,2014-09-20,6.0,https://www.youtube.com/watch?v=TUPDn9rrY1o
934,Unknown Memory,Yung Lean,2014-09-22,4.0,https://www.youtube.com/watch?v=YXwUeKjG9gI
935,NehruvianDOOM,NehruvianDOOM,2014-09-25,5.0,https://www.youtube.com/watch?v=Oycn5qvjymU
936,Goddess,Banks,2014-09-25,5.0,https://www.youtube.com/watch?v=ynbx6v23iyQ
937,Syro,Aphex Twin,2014-09-26,6.0,https://www.youtube.com/watch?v=r7-5Ct4eQho
938,Perfect Hair,Busdriver,2014-09-28,8.0,https://www.youtube.com/watch?v=FUvNMHqhBC4
939,A Toothpaste Suburb,milo,2014-09-30,5.0,https://www.youtube.com/watch?v=hbTZCS0zxIA
940,Tyranny,Julian Casablancas + The Voidz,2014-10-01,7.0,https://www.youtube.com/watch?v=T_Xo9WU4vVM
941,El Pintor,Interpol,2014-10-02,6.0,https://www.youtube.com/watch?v=M6eB1cUUQds
942,Too Bright,Perfume Genius,2014-10-03,8.0,https://www.youtube.com/watch?v=2IS6hJ5b2_k
943,Tomorrow's Modern Boxes,Thom Yorke,2014-10-04,6.0,https://www.youtube.com/watch?v=NN1P-fPxZ7U
944,Dude Incredible,Shellac,2014-10-07,6.0,https://www.youtube.com/watch?v=Y7seq3mi-hY
945,Plowing Into the Field of Love,Iceage,2014-10-07,9.0,https://www.youtube.com/watch?v=Up6qz8TLGYE
946,Wonder Where We Land,SBTRKT,2014-10-08,5.0,https://www.youtube.com/watch?v=i92M9lzXQFM
947,You're Dead,Flying Lotus,2014-10-09,8.0,https://www.youtube.com/watch?v=vBHEEDUkme8
948,Our Love,Caribou,2014-10-14,6.0,https://www.youtube.com/watch?v=vac3FDyjb5M
949,STN MTN / Kauai,Childish Gambino,2014-10-14,4.0,https://www.youtube.com/watch?v=yAksbBrYYsk
950,Time To Die,Electric Wizard,2014-10-15,5.0,https://www.youtube.com/watch?v=hdLOjt50fbY
951,This Is All Yours,alt-J,2014-10-15,7.0,https://www.youtube.com/watch?v=P0C3V8Acjcw
952,Everything Will Be Alright In The End,Weezer,2014-10-16,7.0,https://www.youtube.com/watch?v=Uge_eyjwPYw
953,This Is My Hand,My Brightest Diamond,2014-10-17,7.0,https://www.youtube.com/watch?v=2x3B4W2FVkI
954,A World Lit Only By Fire,Godflesh,2014-10-18,7.0,https://www.youtube.com/watch?v=RuCv_Nt7Bkk
955,...And Star Power,Foxygen,2014-10-20,2.0,https://www.youtube.com/watch?v=ndeO80edrZA
956,Banco,Sir Michael Rocks,2014-10-22,7.0,https://www.youtube.com/watch?v=F0FDvjCOCTQ
957,Soused,Scott Walker + Sunn o))),2014-10-22,6.0,https://www.youtube.com/watch?v=JIpJwefNiNo
958,Hell Can Wait,Vince Staples,2014-10-23,7.0,https://www.youtube.com/watch?v=EUVXJjKeHek
959,Under Pressure,Logic,2014-10-24,6.0,https://www.youtube.com/watch?v=GOiKwhasaNA
960,Lifer,Dope Body,2014-10-25,8.0,https://www.youtube.com/watch?v=I3tRZOln8KY
961,Run the Jewels 2,Run The Jewels,2014-10-27,8.0,https://www.youtube.com/watch?v=oiNIJAQWUbY
962,Royal Blood,Royal Blood,2014-10-28,5.0,https://www.youtube.com/watch?v=guCMYIlKSac
963,Clockwork Indigo EP,Clockwork Indigo,2014-10-28,7.0,https://www.youtube.com/watch?v=ywdF8ixPCQ8
964,Mr. Noah,Panda Bear,2014-10-29,6.0,https://www.youtube.com/watch?v=f7xmVw419fs
965,VI: Flora,Botanist,2014-10-30,8.0,https://www.youtube.com/watch?v=uNgQD02sJYc
966,Bestial Burden,Pharmakon,2014-10-31,5.0,https://www.youtube.com/watch?v=-JypvZFqPuM
967,.5: The Gray Chapter,Slipknot,2014-11-03,4.0,https://www.youtube.com/watch?v=ktiEB7Svutg
968,If There's A Hell Below,Black Milk,2014-11-03,6.0,https://www.youtube.com/watch?v=DmjuddymqGM
969,La Isla Bonita,Deerhoof,2014-11-04,7.0,https://www.youtube.com/watch?v=IcU_E2quVBQ
970,Between Bodies,The World Is a Beautiful Place,2014-11-05,5.0,https://www.youtube.com/watch?v=2cOnW7CRGWw
971,Xen,Arca,2014-11-06,6.0,https://www.youtube.com/watch?v=3SA8qhEpSTg
972,Cadillactica,Big K.R.I.T.,2014-11-07,6.0,https://www.youtube.com/watch?v=j8AtABx7z-k
973,Coffins On Io,Kayo Dot,2014-11-08,6.0,https://www.youtube.com/watch?v=EdX73QXbBmk
974,Rhythm,Wildbirds & Peacedrums,2014-11-10,8.0,https://www.youtube.com/watch?v=JKMyr5J9J-Q
975,Broke With Expensive Taste,Azealia Banks,2014-11-11,5.0,https://www.youtube.com/watch?v=VBFkzgB-9zQ
976,Keep You,Pianos Become the Teeth,2014-11-12,4.0,https://www.youtube.com/watch?v=87YplHEgJ2c
977,Black Metal,Dean Blunt,2014-11-12,8.0,https://www.youtube.com/watch?v=ue5sLcwJpyU
978,Blue,iamamiwhoami,2014-11-16,6.0,https://www.youtube.com/watch?v=SnGDdI4hkLE
979,Pom Pom,Ariel Pink,2014-11-17,9.0,https://www.youtube.com/watch?v=gqmSyACe8do
980,Sterilizer,Sterilizer,2014-11-19,7.0,https://www.youtube.com/watch?v=cNoSHuF5mac
981,The Endless River,Pink Floyd,2014-11-20,6.0,https://www.youtube.com/watch?v=ZyzFR9bCT_E
982,Past 21: Beyond The Arctic Cell,Megaton Leviathan,2014-11-20,7.0,https://www.youtube.com/watch?v=1vBkD8S8kNU
983,I Am Your Destruction,I Am Your Destruction,2014-11-23,7.0,https://www.youtube.com/watch?v=OAbaZQPj97o
984,Seeds,TVOTR,2014-11-24,6.0,https://www.youtube.com/watch?v=mAR0nohgf_k
985,The Church,Mr. Oizo,2014-11-25,7.0,https://www.youtube.com/watch?v=yfLG6UBCSEU
986,Faith In Strangers,Andy Stott,2014-11-26,7.0,https://www.youtube.com/watch?v=Zfwb4JxJU7M
987,Clark,Clark,2014-12-02,6.0,https://www.youtube.com/watch?v=5QhXTgpazuI
988,Annabel Dream Reader,The Wytches,2014-12-05,8.0,https://www.youtube.com/watch?v=frlWC9ptkX8
989,36 Seasons,Ghostface Killah,2014-12-07,5.0,https://www.youtube.com/watch?v=Ib0KEfPQQ7I
990,2014 Forest Hills Drive,J. Cole,2014-12-08,6.0,https://www.youtube.com/watch?v=gZDyjNRDu_c
991,Full of Hell & Merzbow,Full of Hell,2014-12-09,8.0,https://www.youtube.com/watch?v=oOhcHU0AoWs
992,A Better Tomorow,Wu-Tang Clan,2014-12-09,6.0,https://www.youtube.com/watch?v=ieHgriwZvJ4
993,Sonic Highways,Foo Fighters,2014-12-10,5.0,https://www.youtube.com/watch?v=QIRlgm2zkec
994,Bestiary,Hail Mary Mallon,2014-12-12,5.0,https://www.youtube.com/watch?v=zS4mavnAaiQ
995,Black Messiah,D'Angelo and The Vanguard,2014-12-16,8.0,https://www.youtube.com/watch?v=GmzkeqZ3AW8
1002,Fashion Week,Death Grips,2015-01-11,7.0,https://www.youtube.com/watch?v=LPoDXPVw2xA
1003,Viet Cong,Viet Cong,2015-01-13,7.0,https://www.youtube.com/watch?v=nwy-MpYk9Z4
1004,No Cities To Love,Sleater-Kinney,2015-01-14,7.0,https://www.youtube.com/watch?v=O-U2u1zZEeo
1005,Panda Bear Meets the Grim Reaper,Panda Bear,2015-01-15,4.0,https://www.youtube.com/watch?v=46jHFBgvZJ4
1006,The Pale Emperor,Marilyn Manson,2015-01-16,6.0,https://www.youtube.com/watch?v=ONikj9CXwrQ
1007,B4.DA.$$,Joey Bada$$,2015-01-20,8.0,https://www.youtube.com/watch?v=X-qtbMsHk3s
1008,Girls In Peacetime Want To Dance,Belle and Sebastian,2015-01-21,6.0,https://www.youtube.com/watch?v=GhWy8s2oc3E
1009,Apex Predator -- Easy Meat,Napalm Death,2015-01-22,8.0,https://www.youtube.com/watch?v=EXux7PJ4fMI
1010,Tetsuo & Youth,Lupe Fiasco,2015-01-23,7.0,https://www.youtube.com/watch?v=khuhS6vAny4
1011,Vulnicura,Björk,2015-01-27,8.0,https://www.youtube.com/watch?v=rTrT9V6MJeQ
1012,Hyperview,Title Fight,2015-01-28,4.0,https://www.youtube.com/watch?v=ibMp5-ItAFo
1013,Sauna,Mount Eerie,2015-01-29,6.0,https://www.youtube.com/watch?v=rajg9r684ik
1014,Tierra Y Libertad,Xibalba,2015-01-30,6.0,https://www.youtube.com/watch?v=yREeV_Efnw8
1015,Xe,Zs,2015-02-03,8.0,https://www.youtube.com/watch?v=MIvCSukQN9c
1016,Lost Themes,John Carpenter,2015-02-04,7.0,https://www.youtube.com/watch?v=J5RTivkcdnA
1017,Coin Coin Chapter 3: River Run Thee,Matana Roberts,2015-02-05,6.0,https://www.youtube.com/watch?v=E_rFDt6hVfc
1018,A Special Episode Of,Open Mike Eagle,2015-02-06,8.0,https://www.youtube.com/watch?v=4C2TRjy9oVQ
1019,"I Love You, Honeybear",Father John Misty,2015-02-11,8.0,https://www.youtube.com/watch?v=_TCbKdhYsXM
1020,"Man, It Feels Like Space Again",Pond,2015-02-12,6.0,https://www.youtube.com/watch?v=K0OKHJ3K8qs
1021,Kinison,Your Old Droog,2015-02-13,8.0,https://www.youtube.com/watch?v=aSoVb3Wkjak
1022,Sour Soul,BADBADNOTGOOD & Ghostface Killah,2015-02-17,6.0,https://www.youtube.com/watch?v=6XOgZ2qp9us
1023,Supersonic Home,Adventures,2015-02-18,7.0,https://www.youtube.com/watch?v=hehR6VpW-lk
1024,EarthEE,THEESatisfaction,2015-02-20,7.0,https://www.youtube.com/watch?v=NXwhaTEW9Vc
1025,Rose Mountain,Screaming Females,2015-02-23,6.0,https://www.youtube.com/watch?v=RmWexPrl6Ys
1026,Citizen Zombie,The Pop Group,2015-02-24,9.0,https://www.youtube.com/watch?v=w6bDXhZNHvY
1028,Tău,Negură Bunget,2015-02-25,5.0,https://www.youtube.com/watch?v=GFazQdsIxDw
1029,Gliss Riffer,Dan Deacon,2015-02-27,5.0,https://www.youtube.com/watch?v=OzQmLfChVe4
1030,Heavy Dancing,Swain,2015-03-02,7.0,https://www.youtube.com/watch?v=cw9WIp0np44
1031,We Cool?,Jeff Rosenstock,2015-03-02,8.0,https://www.youtube.com/watch?v=J6FSd14ATB4
1032,The Ecology,Fashawn,2015-03-03,5.0,https://www.youtube.com/watch?v=dLV5i15nz4Q
1033,Blade of the Ronin,Cannibal Ox,2015-03-04,5.0,https://www.youtube.com/watch?v=6ygh9uA_blQ
1034,You're Better Than This,Pile,2015-03-05,6.0,https://www.youtube.com/watch?v=2aX-AqRgjIo
1035,Scar Sighted,Leviathan,2015-03-06,8.0,https://www.youtube.com/watch?v=JKM79q5lKVM
1036,Eat Pray Thug,Heems,2015-03-10,4.0,https://www.youtube.com/watch?v=eEDfCQ0cF-8
1037,Hand. Cannot. Erase.,Steven Wilson,2015-03-11,6.0,https://www.youtube.com/watch?v=LHShxTVDv7E
1038,Fantasy Empire,Lightning Bolt,2015-03-12,7.0,https://www.youtube.com/watch?v=medwB35qz_A
1039,No Now,Clarence Clarity,2015-03-12,8.0,https://www.youtube.com/watch?v=AhHAO9_Oxgo
1040,Aureate Gloom,of Montreal,2015-03-16,6.0,https://www.youtube.com/watch?v=DiFm53BrlOE
1041,Strangers To Ourselves,Modest Mouse,2015-03-16,5.0,https://www.youtube.com/watch?v=2JVBUPfxD44
1042,To Pimp A Butterfly,Kendrick Lamar,2015-03-18,10.0,https://www.youtube.com/watch?v=qTmHuavOXNg
1043,Short Movie,Laura Marling,2015-03-19,7.0,https://www.youtube.com/watch?v=B5OHCV2rVX4
1044,The Powers That B (Niggas On the Moon / Jenny Death),Death Grips,2015-03-23,9.0,https://www.youtube.com/watch?v=yKyWZeiRe8c
1045,Carrie & Lowell,Sufjan Stevens,2015-03-24,7.0,https://www.youtube.com/watch?v=JFGKCtnjrDU
1046,Mr. Wonderful,Action Bronson,2015-03-25,5.0,https://www.youtube.com/watch?v=PHQ5pGHLOXY
1047,"Asunder, Sweet and Other Distress",Godspeed You! Black Emperor,2015-03-25,6.0,https://www.youtube.com/watch?v=UlLR657vwic
1048,The Ark Work,Liturgy,2015-03-26,7.0,https://www.youtube.com/watch?v=YGN8GB_mnQU
1049,"I Don't Like Shit, I Don't Go Outside",Earl Sweatshirt,2015-03-28,6.0,https://www.youtube.com/watch?v=WG7xw2UiKwc
1050,Another Eternity,Purity Ring,2015-03-31,4.0,https://www.youtube.com/watch?v=VDScLq5WdkE
1051,Living Fields,Portico,2015-04-02,3.0,https://www.youtube.com/watch?v=hxfr_YEbfYg
1052,"Today, I Wrote Nothing",Billy Woods,2015-04-03,7.0,https://www.youtube.com/watch?v=mU0Gw0_u1ok
1053,"Sometimes I Sit and Think, and Sometimes I Just Sit",Courtney Barnett,2015-04-06,5.0,https://www.youtube.com/watch?v=I6wrqIndfJM
1054,White Men Are Black Men Too,Young Fathers,2015-04-07,8.0,https://www.youtube.com/watch?v=oX56GvWAGY8
1055,Dark Red,Shlohmo,2015-04-08,6.0,https://www.youtube.com/watch?v=t5OplI_vGFU
1056,Eclipse,Twin Shadow,2015-04-13,3.0,https://www.youtube.com/watch?v=N5Q1qj8qNpc
1057,Cherry Bomb,"Tyler, the Creator",2015-04-14,3.0,https://www.youtube.com/watch?v=e2rexvDHPZs
1058,Kintsugi,Death Cab for Cutie,2015-04-15,5.0,https://www.youtube.com/watch?v=MGJyb8YuUvY
1059,Undertow,Drenge,2015-04-16,5.0,https://www.youtube.com/watch?v=YxqQ9e8MYgE
1060,Beat The Champ,The Mountain Goats,2015-04-17,8.0,https://www.youtube.com/watch?v=K9x6-CzjbsA
1061,Damogen Furies,Squarepusher,2015-04-20,6.0,https://www.youtube.com/watch?v=md484TdkZ5c
1062,Instant Gratification,Dance Gavin Dance,2015-04-20,1.0,https://www.youtube.com/watch?v=I8ZvRBl6zfA
1063,Barter 6,Young Thug,2015-04-21,5.0,https://www.youtube.com/watch?v=Aa2NmA9LlsY
1064,Sound & Color,Alabama Shakes,2015-04-22,8.0,https://www.youtube.com/watch?v=5NptvA4PyEI
1065,This World Is Not Enough,Marching Church,2015-04-23,6.0,https://www.youtube.com/watch?v=pTZXb28CM_U
1066,What For?,Toro y Moi,2015-04-24,7.0,https://www.youtube.com/watch?v=x6Lis-8oaCU
1067,The Children of the Night,Tribulation,2015-04-26,7.0,https://www.youtube.com/watch?v=KdbAYLHLUZ8
1068,Love Story,Yelawolf,2015-04-27,3.0,https://www.youtube.com/watch?v=8quP0JNiFSg
1069,Never Were the Way She Was,Colin Stetson and Sarah Neufeld,2015-04-28,8.0,https://www.youtube.com/watch?v=6HLTXL-s4J8
1070,IF,Paul de Jong,2015-04-29,7.0,https://www.youtube.com/watch?v=BfetFfARwv4
1071,The Magic Whip,Blur,2015-05-01,7.0,https://www.youtube.com/watch?v=tTt7YDzH054
1072,The Epic,Kamasi Washington,2015-05-05,9.0,https://www.youtube.com/watch?v=cRekLSSWhtg
1073,Sprinter,Torres,2015-05-07,5.0,https://www.youtube.com/watch?v=fIJvY0sOP7E
1074,The Album About Nothing,Wale,2015-05-08,4.0,https://www.youtube.com/watch?v=c3PFKqZXmkU
1075,Dark Bird Is Home,The Tallest Man On Earth,2015-05-10,6.0,https://www.youtube.com/watch?v=VvKeBjz1NYI
1076,Choose Your Weapon,Hiatus Kaiyote,2015-05-11,5.0,https://www.youtube.com/watch?v=TBgmf37MGtg
1077,La Chaise-Dyable,Peste Noire,2015-05-12,7.0,https://www.youtube.com/watch?v=D46urKgzDbY
1078,Platform,Holly Herndon,2015-05-14,6.0,https://www.youtube.com/watch?v=pFCy16vPT7c
